Time,Mean Abs. Temp. T1 / °C,Mean Abs. Temp. T2 / °C,Mean Room Temp. / °C
22-Nov-2021 11:27:13,67.5480323646519,64.946270632019,22.7586903975201
22-Nov-2021 11:27:34,68.252027706997,65.7667975514351,22.7793991892083
22-Nov-2021 11:27:52,68.2957943374034,66.0969295243448,22.7864555591978
22-Nov-2021 11:28:08,68.5316624810573,66.2149306331386,22.9708467247275
22-Nov-2021 11:28:27,69.3863371411933,66.9264437786643,22.8675281689485
22-Nov-2021 11:28:46,69.8249571141291,67.2778282316454,23.0693359742829
22-Nov-2021 11:29:05,70.2714909853368,67.8569709696221,23.0363524946442
22-Nov-2021 11:29:22,70.2872814773839,68.0050370167715,23.0622023676141
22-Nov-2021 11:29:45,71.2367891145613,68.5558541526557,23.2273544258608
22-Nov-2021 11:30:02,71.876741706751,69.1154709736448,23.331911428683
22-Nov-2021 11:30:23,72.3904118987367,69.6617288668239,23.2577315949527
22-Nov-2021 11:30:44,72.998435888275,70.2070657617011,23.2492934434755
22-Nov-2021 11:31:03,73.7375404259721,70.8362744651119,23.3410401835146
22-Nov-2021 11:31:23,74.3841292754154,71.5175009370072,23.2296557096451
22-Nov-2021 11:31:41,74.6656837730436,71.9642331361543,23.2024237993056
22-Nov-2021 11:32:00,75.1148186962174,72.356078044016,23.3462566352997
22-Nov-2021 11:32:21,75.5328507658951,72.8302450986191,23.3144978064364
22-Nov-2021 11:32:43,76.0053235458344,73.2366725222067,23.5271495269332
22-Nov-2021 11:33:03,76.448483678104,73.6991308885561,23.4718373543426
22-Nov-2021 11:33:21,76.5639005539226,73.9303843306668,23.2503674016368
22-Nov-2021 11:33:38,76.4847994232273,74.0190746916311,23.4673111195673
22-Nov-2021 11:33:58,77.0793906066515,74.1994218021191,23.5879863504135
22-Nov-2021 11:34:18,77.785337467635,74.8708257231217,23.4343237071272
22-Nov-2021 11:34:36,77.8581547369946,75.0606441542774,23.4680782540437
22-Nov-2021 11:34:53,78.182031263549,75.3844588079374,23.3767116363229
22-Nov-2021 11:35:11,78.0612560639725,75.5115162328194,23.3723389706095
22-Nov-2021 11:35:29,78.3194199031123,75.564646603128,23.4842652464031
22-Nov-2021 11:35:46,79.086543311912,76.1154758067249,23.4602533075058
22-Nov-2021 11:36:03,79.0679811491119,76.284794363262,23.510118485541
22-Nov-2021 11:36:19,79.4814434037255,76.5360999920906,23.5557649544759
22-Nov-2021 11:36:37,79.7625740877465,76.9853806686229,23.1439719886705
22-Nov-2021 11:36:55,79.5055459361773,77.047497648831,23.2635615976425
22-Nov-2021 11:37:17,79.2477578617371,76.9201474045743,23.3965803976716
22-Nov-2021 11:37:34,79.2475239052859,76.7883598554039,23.6579538959599
22-Nov-2021 11:37:54,80.1098866673385,77.0205308579505,23.7834695300532
22-Nov-2021 11:38:13,80.6507425515783,77.6418377131651,23.6152980704845
22-Nov-2021 11:38:30,80.6941276133878,77.7522993541893,23.6262689439962
22-Nov-2021 11:38:46,81.8361455909402,78.4121836127037,23.7796333827973
22-Nov-2021 11:39:05,82.9034424197844,79.2512625661446,23.7802471657949
22-Nov-2021 11:39:25,84.3875049363347,80.456056659059,23.8385566872064
22-Nov-2021 11:39:41,85.3326315659577,81.6782263118926,23.6676974748201
22-Nov-2021 11:39:57,84.9344527481567,82.0026117182022,23.7803239762069
22-Nov-2021 11:40:14,85.4674263691142,82.3761318132829,23.7019145144587
22-Nov-2021 11:40:33,86.7448508922979,83.1665570942793,23.8871234233354
22-Nov-2021 11:40:50,88.0200320198497,84.4073062922923,23.844234248634
22-Nov-2021 11:41:15,87.6808006451811,84.998440736659,23.7472567052734
22-Nov-2021 11:41:31,87.4298795064372,85.0443016450969,23.5553046913731
22-Nov-2021 11:41:50,87.4814854413997,84.9358615417817,23.7582279361248
22-Nov-2021 11:42:08,87.7324886632058,85.1402444312505,23.7395845788475
22-Nov-2021 11:42:27,87.3548961263179,84.942267826974,23.8169206876888
22-Nov-2021 11:42:45,87.9801491994594,85.0068785943546,23.827968836648
22-Nov-2021 11:43:04,88.8568426102633,85.7985591108457,23.7175655776596
22-Nov-2021 11:43:27,88.8093610700827,85.9589968530022,23.8575075618952
22-Nov-2021 11:43:46,89.3198821975498,86.2798957588133,24.0751810117651
22-Nov-2021 11:44:04,89.701455419179,86.7577849371417,23.8279688343915
22-Nov-2021 11:44:23,89.2454033321601,86.7808448137442,23.926790135432
22-Nov-2021 11:44:45,88.8752252114869,86.5849583265636,23.9412146136932
22-Nov-2021 11:45:05,88.6106031463969,86.3228044217041,24.0883784685955
22-Nov-2021 11:45:28,88.353197787934,86.0434779011249,23.8652567917717
22-Nov-2021 11:45:48,88.5661757465607,85.9137483818761,24.1010388359922
22-Nov-2021 11:46:08,88.8306377017525,86.1449205375349,23.9541046220526
22-Nov-2021 11:46:29,89.4096975363345,86.3068602731981,24.1321145093685
22-Nov-2021 11:46:47,90.5535633379473,87.1747636422887,24.2307912531179
22-Nov-2021 11:47:05,91.3175886185682,87.8282458028812,24.2746059077252
22-Nov-2021 11:47:24,92.1344869899381,88.8180195770476,24.1657993105404
22-Nov-2021 11:47:40,92.1246209867167,89.1668887184522,24.2027839488737
